org_id,name,loc_id,website,org_type,meeting_day,meeting_time,is_hybrid,online_day,online_time,notes
CA_ON_001,Forest Brook Community Church,LOC_CA_ON_001,http://www.forestbrook.ca,,Monday,7:00 PM,yes,Monday,7:00 PM,"hybrid in-person + online, same times"
CA_ON_002,Desert Stream Christian Fellowship,LOC_CA_ON_002,http://www.desertstream.net,,Monday,7:00 PM,,,,
CA_ON_003,Brant Community Church,LOC_CA_ON_003,http://www.brantcc.ca,,Monday,7:00 PM,,,,
CA_ON_004,First Reformed Church,LOC_CA_ON_004,http://firstreformedchurch.ca,,Tuesday,7:00 PM,,,,
CA_ON_005,Richview Church,LOC_CA_ON_005,https://richviewchurch.com/,,Friday,7:00 PM,,,,
CA_ON_006,Forestview Community Church,LOC_CA_ON_006,http://forestviewcommunitychurch.ca,,Wednesday,7:00 PM,,,,
CA_ON_007,CR Downtown – Hope House,LOC_CA_ON_007,https://www.guelphbiblechapel.ca/celebrate-recovery.html,,Wednesday,7:00 PM,,,,
CA_ON_008,Lakeside Church,LOC_CA_ON_008,https://www.lakesidechurch.ca/cr/,,Monday,7:00 PM,,,,
CA_ON_009,The Salvation Army Kingston Citadel,LOC_CA_ON_009,https://www.facebook.com/CRKingstonOntario,,Sunday,6:30 PM,,,,
CA_ON_010,South Point Community Church,LOC_CA_ON_010,http://www.southpointcc.ca,,Tuesday,7:00 PM,,,,
CA_ON_011,Abundant Life Community Church,LOC_CA_ON_011,http://www.alccnet.com/,,Thursday,7:00 PM,,,,
CA_ON_012,First Baptist Church North Bay,LOC_CA_ON_012,http://www.fbcnb.ca,,Wednesday,7:00 PM,,,,
CA_ON_013,Calvary Baptist Church,LOC_CA_ON_013,http://www.calvary.on.ca/ministries/community-care/,,Monday,7:00 PM,,,,
CA_ON_014,The Corner Church,LOC_CA_ON_014,https://www.thecornerchurch.ca/celebrate-recovery,,Tuesday,7:00 PM,,,,
CA_ON_015,Cedarview Church,LOC_CA_ON_015,https://www.cedarviewchurch.com,,Thursday,7:00 PM,,,,open share only
CA_ON_016,Emmanuel Baptist Church,LOC_CA_ON_016,https://emmanuellife.com,,Tuesday,7:00 PM,,,,
CA_ON_017,Summit Community Church,LOC_CA_ON_017,http://summitcommunity.ca/celebrate-recovery/,,Tuesday,7:00 PM,,,,
CA_ON_018,Bethany Community Church,LOC_CA_ON_018,http://www.bethanycc.ca/support,,Thursday,6:30 PM,,,,
CA_ON_019,Destination Church,LOC_CA_ON_019,https://www.destinationchurch.ca/,,Sunday,7:00 PM,,,,
CA_ON_020,Elgin Missionary Church,LOC_CA_ON_020,https://elginmc.ca/celebrate-recover/,,Monday,6:30 PM,,,,
CA_ON_021,North Broadway Baptist Church,LOC_CA_ON_021,http://northbroadwaychurch.ca,,Sunday,6:30 PM,,,,
CA_ON_022,Stone Church – Davenport Campus,LOC_CA_ON_022,http://www.stonechurch.ca/,,Wednesday,6:45 PM,,,,
CA_ON_023,Creekside Church,LOC_CA_ON_023,https://www.creeksidechurch.ca/celebrate-recovery/,,Friday,6:30 PM,,,,
CA_ON_024,Rice Road Community Church,LOC_CA_ON_024,http://www.riceroadcc.ca/,,Tuesday,7:00 PM,,,,
CA_ON_025,Movement Church Woodstock,LOC_CA_ON_025,http://wearemovement.ca,,Tuesday,7:00 PM,,,,
